,Mid_kept,activation,epochs,batch_size,neurons,consensus,depth,accuracy
139,00000025846,0000000relu,00000000250,00000001000,00000000009,0consensus0,00000000003,0.992633614
140,00000025846,0000000relu,00000000500,00000000750,00000000009,0consensus0,00000000003,0.991791195
141,00000025846,0000000relu,00000000500,00000001000,00000000009,0consensus0,00000000003,0.992298561
142,00000025846,0000000relu,00000000250,00000000500,00000000009,0consensus0,00000000003,0.991384344
143,00000025846,0000000relu,00000000100,00000001000,00000000009,0consensus0,00000000003,0.990139861
144,00000025846,0000000relu,00000000250,00000000500,00000000009,0consensus0,00000000018,0.993011746
145,00000025846,0000000relu,00000000050,00000001000,00000000009,0consensus0,00000000012,0.992552244
146,00000025846,0000000relu,00000001000,00000002000,00000000008,0consensus0,00000000006,0.993906817
147,00000025846,0000000relu,00000001000,00000005000,00000000008,0consensus0,00000000003,0.991882138
148,00000025846,0000000relu,00000001000,00000005000,00000000008,0consensus0,00000000006,0.993815874
149,00000025846,0000000selu,00000000025,00000000500,00000000008,0consensus0,00000000006,0.988852299
150,00000025846,0000000relu,00000000250,00000000750,00000000009,0consensus0,00000000003,0.993078757
151,00000025846,0000000selu,00000000100,00000001000,00000000005,0consensus0,00000000018,0.993614842
152,00000025846,0000000selu,00000000250,00000000750,00000000008,0consensus0,00000000006,0.993748863
153,00000025846,0000000selu,00000000500,00000000500,00000000008,0consensus0,00000000006,0.994280162
154,00000025846,0000000tanh,00000000100,00000000750,00000000011,0consensus0,00000000006,0.993696212
155,00000025846,0000000selu,00000000250,00000001000,00000000005,0consensus0,00000000018,0.994117422
156,00000025846,0000000tanh,00000000250,00000003500,00000000008,0consensus0,00000000006,0.992035305
157,00000025846,0000000tanh,00000000500,00000001000,00000000008,0consensus0,00000000006,0.993983401
158,00000025846,0000000tanh,00000000100,00000000750,00000000008,0consensus0,00000000006,0.98950326
159,00000025846,0000000relu,00000000100,00000000750,00000000009,0consensus0,00000000003,0.992059237
160,00000025846,0000000relu,00000000100,00000000500,00000000009,0consensus0,00000000015,0.993686639
161,00000025846,0000000tanh,00000000025,00000000500,00000000008,0consensus0,00000000006,0.989254363
162,00000025846,0000000tanh,00000000500,00000003500,00000000011,0consensus0,00000000006,0.9941605
163,00000025846,0000000tanh,00000000500,00000000500,00000000008,0consensus0,00000000006,0.993562191
164,00000025846,0000000tanh,00000000500,00000000750,00000000005,0consensus0,00000000006,0.992580963
165,00000025846,0000000tanh,00000000100,00000000750,00000000008,0consensus0,00000000012,0.989105982
166,00000025846,0000000tanh,00000000500,00000000750,00000000005,0consensus0,00000000012,0.993854166
167,00000025846,0000000tanh,00000000500,00000003500,00000000005,0consensus0,00000000012,0.993543045
168,00000025846,0000000tanh,00000000100,00000000500,00000000008,0consensus0,00000000006,0.992791568
169,00000025846,0000000tanh,00000000250,00000003500,00000000005,0consensus0,00000000006,0.989871818
170,00000025846,0000000tanh,00000000500,00000001000,00000000005,0consensus0,00000000006,0.993265429
171,00000025846,0000000tanh,00000000500,00000000500,00000000005,0consensus0,00000000006,0.99365792
172,00000025846,0000000tanh,00000000250,00000000750,00000000005,0consensus0,00000000006,0.988177406
173,00000025846,0000000tanh,00000000500,00000001000,00000000005,0consensus0,00000000006,0.989929256
174,00000025846,0000000tanh,00000000500,00000000750,00000000005,0consensus0,00000000012,0.993782369
175,00000025846,0000000relu,00000001000,00000000750,00000000009,0consensus0,00000000015,0.993882885
176,00000025846,0000000tanh,00000000500,00000003500,00000000005,0consensus0,00000000006,0.990096783
177,00000025846,0000000tanh,00000000250,00000003500,00000000005,0consensus0,00000000006,0.988737424
178,00000025846,0000000relu,00000001000,00000000750,00000000009,0consensus0,00000000006,0.993897244
179,00000025846,0000000tanh,00000000500,00000000500,00000000005,0consensus0,00000000006,0.994059984
180,00000025846,0000000relu,00000000250,00000001000,00000000009,0consensus0,00000000009,0.993275002
181,00000025846,0000000relu,00000001000,00000000500,00000000009,0consensus0,00000000003,0.993322867
182,00000025846,0000000relu,00000000250,00000002000,00000000009,0consensus0,00000000003,0.993045251
183,00000025846,0000000tanh,00000000250,00000000750,00000000011,0consensus0,00000000006,0.994021692
184,00000025846,0000000tanh,00000000250,00000000750,00000000011,0consensus0,00000000006,0.993973828
185,00000025846,0000000tanh,00000000500,00000003500,00000000005,0consensus0,00000000012,0.989895751
188,00000029846,0000000relu,00000000500,00000005000,00000000005,consensusH6,00000000012,0.921999598
189,00000029846,0000000relu,00000001000,00000000500,00000000005,consensusH5,00000000003,0.937153579
190,00000025846,0000000relu,00000000500,00000001000,00000000009,0consensus0,00000000009,0.993925963
192,00000029846,0000000relu,00000000100,00000002000,00000000006,consensusH5,00000000006,0.941260375
193,00000025846,0000000tanh,00000000500,00000001000,00000000005,0consensus0,00000000012,0.993921176
196,00000029846,0000000relu,00000000050,00000000500,00000000008,consensusH5,00000000003,0.990742957
197,00000029846,0000000relu,00000000050,00000001000,00000000008,consensusH6,00000000006,0.950493486
198,00000029846,0000000relu,00000000050,00000000750,00000000008,consensusH5,00000000003,0.989283082
200,00000025846,0000000relu,00000001000,00000005000,00000000009,0consensus0,00000000006,0.993164913
201,00000029846,0000000relu,00000000025,00000000750,00000000008,consensusH6,00000000012,0.951517791
202,00000025846,0000000tanh,00000000250,00000000750,00000000005,0consensus0,00000000006,0.993480821
203,00000029846,0000000relu,00000000100,00000001000,00000000008,consensusH5,00000000003,0.987531232
205,00000029846,0000000relu,00000000100,00000002000,00000000008,consensusH5,00000000006,0.983170753
206,00000029846,0000000relu,00000000100,00000002000,00000000008,consensusH6,00000000006,0.944563043
207,00000029846,0000000relu,00000000500,00000005000,00000000005,consensusH5,00000000006,0.98866084
208,00000029846,0000000relu,00000000250,00000000750,00000000008,consensusH5,00000000006,0.912656398
209,00000029846,0000000relu,00000000250,00000002000,00000000008,consensusH6,00000000003,0.983060664
211,00000029846,0000000relu,00000000050,00000000500,00000000008,consensusH6,00000000003,0.987516872
212,00000029846,0000000relu,00000000500,00000000500,00000000008,consensusH5,00000000003,0.985473047
213,00000029846,0000000relu,00000000250,00000001000,00000000008,consensusH5,00000000009,0.975871378
217,00000029846,0000000relu,00000000500,00000001000,00000000008,consensusH5,00000000003,0.982964934
218,00000029846,0000000relu,00000000250,00000005000,00000000008,consensusH6,00000000003,0.981954988
219,00000029846,0000000relu,00000000500,00000000500,00000000008,consensusH5,00000000006,0.906735528
221,00000029846,0000000relu,00000000500,00000005000,00000000008,consensusH6,00000000003,0.988881018
223,00000029846,0000000relu,00000000500,00000002000,00000000008,consensusH5,00000000003,0.968859191
224,00000029846,0000000relu,00000000100,00000002000,00000000008,consensusH5,00000000015,0.940039823
227,00000029846,0000000relu,00000000250,00000005000,00000000008,consensusH5,00000000003,0.990551498
229,00000029846,0000000relu,00000000500,00000000750,00000000008,consensusH5,00000000006,0.928614507
230,00000029846,0000000relu,00000001000,00000005000,00000000008,consensusH5,00000000003,0.957237629
231,00000029846,0000000relu,00000000500,00000005000,00000000008,consensusH5,00000000003,0.988258776
232,00000029846,0000000relu,00000000050,00000000750,00000000009,consensusH6,00000000015,0.938623027
234,00000029846,0000000relu,00000001000,00000005000,00000000008,consensusH6,00000000003,0.972822393
235,00000029846,0000000relu,00000000500,00000002000,00000000008,consensusH6,00000000003,0.976158566
236,00000029846,0000000relu,00000000250,00000000500,00000000009,consensusH6,00000000003,0.962196418
237,00000029846,0000000relu,00000000100,00000001000,00000000009,consensusH6,00000000003,0.990886551
238,00000029846,0000000relu,00000000250,00000000750,00000000009,consensusH6,00000000003,0.98825399
239,00000029846,0000000relu,00000000250,00000000500,00000000009,consensusH5,00000000003,0.961143393
240,00000029846,0000000relu,00000000250,00000001000,00000000009,consensusH5,00000000003,0.985870325
241,00000029846,0000000relu,00000000250,00000001000,00000000009,consensusH6,00000000003,0.987789701
242,00000029846,0000000relu,00000000100,00000000750,00000000009,consensusH5,00000000003,0.99033132
243,00000029846,0000000relu,00000000050,00000000500,00000000009,consensusH5,00000000003,0.991508793
245,00000029846,0000000relu,00000001000,00000005000,00000000008,consensusH6,00000000006,0.968394903
246,00000029846,0000000relu,00000000250,00000001000,00000000006,consensusH5,00000000003,0.978996946
247,00000029846,0000000relu,00000000050,00000002000,00000000006,consensusH5,00000000015,0.905692076
253,00000029846,0000000relu,00000000100,00000001000,00000000009,consensusH5,00000000003,0.989967548
254,00000029846,0000000relu,00000000050,00000001000,00000000007,consensusH5,00000000006,0.927489685
255,00000029846,0000000relu,00000000050,00000000500,00000000007,consensusH6,00000000009,0.958252362
256,00000029846,0000000relu,00000000500,00000001000,00000000006,consensusH6,00000000006,0.90093432
257,00000029846,0000000relu,00000000250,00000001000,00000000006,consensusH5,00000000009,0.921966093
259,00000029846,0000000relu,00000000100,00000002000,00000000007,consensusH6,00000000009,0.925417141
260,00000029846,0000000relu,00000000100,00000005000,00000000007,consensusH6,00000000006,0.98199328
264,00000029846,0000000relu,00000000250,00000000750,00000000009,consensusH5,00000000003,0.967787021
267,00000029846,0000000relu,00000001000,00000001000,00000000007,consensusH5,00000000006,0.911177377
269,00000029846,0000000relu,00000000500,00000000750,00000000007,consensusH6,00000000015,0.903873216
270,00000029846,0000000relu,00000000250,00000002000,00000000007,consensusH5,00000000009,0.935502245
271,00000029846,0000000tanh,00000001000,00000005000,00000000005,consensusH5,00000000003,0.968859191
276,00000029846,0000000tanh,00000000025,00000000500,00000000006,consensusH4,00000000003,0.989038971
278,00000029846,0000000tanh,00000000025,00000000750,00000000006,consensusH6,00000000006,0.915456486
279,00000029846,0000000tanh,00000000025,00000001000,00000000006,consensusH5,00000000006,0.92487627
280,00000029846,0000000relu,00000001000,00000002000,00000000008,consensusH6,00000000003,0.971922536
282,00000029846,0000000tanh,00000000050,00000001000,00000000006,consensusH4,00000000003,0.989436249
283,00000029846,0000000tanh,00000000050,00000001000,00000000006,consensusH5,00000000003,0.984218991
284,00000029846,0000000tanh,00000000050,00000000500,00000000006,consensusH5,00000000003,0.990886551
285,00000029846,0000000tanh,00000000100,00000000500,00000000006,consensusH5,00000000003,0.987713118
286,00000029846,0000000tanh,00000000050,00000000750,00000000006,consensusH4,00000000003,0.988182192
287,00000029846,0000000tanh,00000000050,00000000750,00000000006,consensusH6,00000000003,0.990058491
288,00000029846,0000000tanh,00000000050,00000000750,00000000006,consensusH5,00000000003,0.989125128
290,00000025846,0000000tanh,00000000500,00000001000,00000000005,0consensus0,00000000012,0.994036052
291,00000029846,0000000tanh,00000000100,00000001000,00000000006,consensusH5,00000000003,0.990422263
292,00000025846,0000000relu,00000000250,00000001000,00000000008,consensusH6,00000000003,0.992284202
293,00000029846,0000000tanh,00000000050,00000000500,00000000006,consensusH6,00000000003,0.991795981
294,00000025846,0000000relu,00000000500,00000000750,00000000011,consensusH5,00000000003,0.993600482
295,00000029846,0000000tanh,00000000100,00000001000,00000000006,consensusH6,00000000003,0.988991107
296,00000025846,0000000tanh,00000000250,00000000500,00000000005,consensusH5,00000000003,0.993035678
297,00000025846,0000000tanh,00000000100,00000001000,00000000005,consensusH5,00000000003,0.992126248
299,00000025846,0000000relu,00000000100,00000001000,00000000011,consensusH5,00000000003,0.991973081
300,00000025846,0000000relu,00000000250,00000000750,00000000008,consensusH6,00000000003,0.992791568
301,00000029846,0000000tanh,00000000100,00000000750,00000000006,consensusH5,00000000003,0.989196925
302,00000025846,0000000tanh,00000000500,00000000750,00000000005,consensusH5,00000000009,0.994040838
303,00000025846,0000000tanh,00000000500,00000001000,00000000005,consensusH6,00000000009,0.994270589
304,00000025846,0000000tanh,00000000100,00000000750,00000000005,consensusH5,00000000003,0.991647601
305,00000025846,0000000tanh,00000000100,00000000750,00000000008,consensusH5,00000000003,0.992777209
306,00000025846,0000000tanh,00000000100,00000001000,00000000008,consensusH5,00000000003,0.992351212
307,00000025846,0000000tanh,00000000250,00000000750,00000000008,consensusH5,00000000003,0.99359091
308,00000025846,0000000tanh,00000000250,00000001000,00000000005,consensusH5,00000000003,0.993255856
309,00000025846,0000000tanh,00000000100,00000000500,00000000008,consensusH6,00000000009,0.993566977
